customer_id,coupon_code,shipping_city
343,FREESHIP,San Jose
377,HOLIDAY15,Philadelphia
431,HOLIDAY15,San Jose
916,FREESHIP,San Jose
904,FREESHIP,San Antonio
806,HOLIDAY15,Dallas
560,WELCOME20,Philadelphia
156,FREESHIP,San Antonio
522,SPRINGSALE,New York
985,HOLIDAY15,Dallas
775,WELCOME20,New York
111,HOLIDAY15,San Diego
220,WELCOME20,Los Angeles
836,WELCOME20,Phoenix
249,SAVE10,San Jose
336,SAVE10,Dallas
561,SAVE10,Phoenix
217,SAVE10,Dallas
140,SPRINGSALE,Chicago
820,SPRINGSALE,Philadelphia
185,WELCOME20,San Antonio
498,FREESHIP,New York
964,SAVE10,San Diego
143,SPRINGSALE,San Jose
660,SPRINGSALE,Los Angeles
570,HOLIDAY15,San Jose
845,WELCOME20,Phoenix
721,HOLIDAY15,Philadelphia
380,HOLIDAY15,Los Angeles
793,FREESHIP,Phoenix
287,WELCOME20,San Antonio
517,WELCOME20,Chicago
751,HOLIDAY15,Philadelphia
543,HOLIDAY15,San Jose
887,HOLIDAY15,Houston
778,WELCOME20,San Diego
428,HOLIDAY15,San Diego
139,SPRINGSALE,Chicago
235,SPRINGSALE,New York
570,HOLIDAY15,San Jose
936,SPRINGSALE,Los Angeles
789,SPRINGSALE,New York
804,SAVE10,Dallas
987,FREESHIP,Philadelphia
982,SPRINGSALE,San Antonio
723,WELCOME20,Los Angeles
393,WELCOME20,Chicago
743,SPRINGSALE,Dallas
888,FREESHIP,Philadelphia
547,SAVE10,San Jose
689,HOLIDAY15,San Antonio
677,SAVE10,Phoenix
934,FREESHIP,Phoenix
386,HOLIDAY15,Los Angeles
297,SPRINGSALE,San Antonio
220,SPRINGSALE,Houston
799,HOLIDAY15,New York
275,WELCOME20,Philadelphia
461,SAVE10,San Diego
875,FREESHIP,San Jose
434,SAVE10,Los Angeles
978,SPRINGSALE,New York
931,WELCOME20,Los Angeles
208,SAVE10,San Jose
406,FREESHIP,San Jose
429,WELCOME20,Los Angeles
535,SPRINGSALE,Chicago
623,HOLIDAY15,San Diego
668,FREESHIP,San Antonio
114,FREESHIP,Los Angeles
467,HOLIDAY15,Phoenix
794,FREESHIP,Los Angeles
624,WELCOME20,Phoenix
346,SPRINGSALE,Chicago
251,HOLIDAY15,Chicago
310,SAVE10,Chicago
110,SAVE10,Phoenix
297,HOLIDAY15,Phoenix
348,HOLIDAY15,San Antonio
345,SPRINGSALE,New York
891,FREESHIP,San Jose
821,HOLIDAY15,San Jose
757,HOLIDAY15,Phoenix
408,SPRINGSALE,Chicago
655,SPRINGSALE,San Antonio
754,SPRINGSALE,San Antonio
129,WELCOME20,Chicago
304,WELCOME20,Chicago
933,SAVE10,San Jose
230,HOLIDAY15,Chicago
775,WELCOME20,Philadelphia
430,WELCOME20,Los Angeles
528,SAVE10,San Jose
696,SAVE10,Chicago
893,HOLIDAY15,New York
526,WELCOME20,Chicago
160,SPRINGSALE,Los Angeles
274,SAVE10,San Diego
833,WELCOME20,Chicago
564,SAVE10,New York
938,FREESHIP,Phoenix
802,SPRINGSALE,New York
972,SAVE10,Los Angeles
270,HOLIDAY15,New York
426,SAVE10,San Jose
236,SPRINGSALE,San Jose
128,SPRINGSALE,Houston
496,WELCOME20,San Antonio
415,SPRINGSALE,New York
506,SAVE10,New York
896,WELCOME20,San Jose
684,SPRINGSALE,San Jose
530,WELCOME20,Phoenix
319,FREESHIP,Phoenix
968,WELCOME20,Phoenix
727,SPRINGSALE,Houston
204,WELCOME20,San Antonio
513,HOLIDAY15,Phoenix
622,WELCOME20,New York
472,WELCOME20,San Antonio
513,SAVE10,Houston
350,HOLIDAY15,San Antonio
141,HOLIDAY15,San Antonio
109,SAVE10,Los Angeles
388,WELCOME20,Philadelphia
479,SPRINGSALE,Los Angeles
663,WELCOME20,New York
893,HOLIDAY15,Houston
760,FREESHIP,Philadelphia
781,SAVE10,Los Angeles
298,SPRINGSALE,Los Angeles
547,WELCOME20,Philadelphia
781,FREESHIP,Houston
577,SAVE10,San Diego
663,WELCOME20,Phoenix
932,HOLIDAY15,Philadelphia
298,SPRINGSALE,Chicago
946,SPRINGSALE,Dallas
492,SAVE10,Chicago
827,SAVE10,Chicago
329,FREESHIP,Philadelphia
967,SPRINGSALE,San Jose
818,SPRINGSALE,San Jose
489,HOLIDAY15,Houston
432,HOLIDAY15,Dallas
719,SPRINGSALE,New York
997,SPRINGSALE,Los Angeles
690,SPRINGSALE,Chicago
781,SPRINGSALE,Phoenix
224,WELCOME20,Philadelphia
647,SAVE10,New York
910,FREESHIP,Phoenix
798,FREESHIP,San Jose
338,FREESHIP,San Diego
480,SPRINGSALE,Philadelphia
157,WELCOME20,Dallas
574,FREESHIP,Phoenix
688,SPRINGSALE,San Antonio
441,HOLIDAY15,Phoenix
142,FREESHIP,Chicago
514,SPRINGSALE,Los Angeles
360,WELCOME20,New York
162,HOLIDAY15,Philadelphia
600,HOLIDAY15,Philadelphia
584,WELCOME20,Phoenix
863,HOLIDAY15,Philadelphia
175,WELCOME20,Chicago
911,FREESHIP,Houston
770,SPRINGSALE,Chicago
445,SPRINGSALE,Dallas
979,HOLIDAY15,San Diego
341,WELCOME20,Chicago
122,HOLIDAY15,Phoenix
349,SPRINGSALE,Chicago
692,SPRINGSALE,Philadelphia
186,SAVE10,Phoenix
898,WELCOME20,Phoenix
569,HOLIDAY15,San Antonio
386,SPRINGSALE,San Diego
923,WELCOME20,San Antonio
307,FREESHIP,Phoenix
424,FREESHIP,San Jose
874,SPRINGSALE,San Antonio
584,FREESHIP,Houston
402,SPRINGSALE,San Antonio
428,FREESHIP,Los Angeles
383,HOLIDAY15,Houston
450,SPRINGSALE,Dallas
969,HOLIDAY15,Chicago
872,SPRINGSALE,San Antonio
546,SAVE10,Philadelphia
759,WELCOME20,San Antonio
907,SAVE10,San Antonio
849,HOLIDAY15,San Diego
551,WELCOME20,Dallas
834,SPRINGSALE,San Diego
114,HOLIDAY15,Chicago
826,HOLIDAY15,Los Angeles
962,SPRINGSALE,Los Angeles
871,WELCOME20,San Antonio
143,FREESHIP,Philadelphia
228,WELCOME20,Dallas
389,SAVE10,Houston
162,WELCOME20,Los Angeles
876,SAVE10,Philadelphia
244,SPRINGSALE,Los Angeles
990,SPRINGSALE,Chicago
435,FREESHIP,Phoenix
638,SAVE10,New York
880,HOLIDAY15,Phoenix
829,WELCOME20,Chicago
618,SPRINGSALE,New York
387,HOLIDAY15,Dallas
842,WELCOME20,Phoenix
852,SAVE10,Los Angeles
752,SPRINGSALE,Philadelphia
525,HOLIDAY15,Philadelphia
994,HOLIDAY15,Philadelphia
339,FREESHIP,Philadelphia
460,WELCOME20,San Jose
762,SAVE10,San Diego
915,FREESHIP,Los Angeles
354,HOLIDAY15,Chicago
829,WELCOME20,Chicago
118,HOLIDAY15,San Antonio
668,FREESHIP,New York
405,SPRINGSALE,San Diego
930,FREESHIP,San Jose
964,SAVE10,Chicago
339,HOLIDAY15,New York
740,FREESHIP,Phoenix
189,SAVE10,San Jose
664,WELCOME20,San Antonio
682,HOLIDAY15,Philadelphia
285,SAVE10,Dallas
921,SAVE10,Chicago
441,HOLIDAY15,Dallas
432,FREESHIP,San Diego
