date,customer_id,product,price,quantity,coupon_code,shipping_city,discount,net_price,revenue,transaction_key,order_year,order_month,is_high_discount,product_initial
2014-10-18,CUST00001,Cosmetics,437.2,8446,SAVE20,toronto,0.2,349.76,2954072.96,20141018_CUST00001_Cosmetics,2014,10,1,C
2011-11-07,CUST00002,Vegetables,154.06,3018,PROMO10,tokyo,0.1,138.654,418457.772,20111107_CUST00002_Vegetables,2011,11,1,V
2016-10-31,CUST00003,Baby Food,255.28,1517,FREESHIP,new york,0.0,255.28,387259.76,20161031_CUST00003_BabyFood,2016,10,0,B
2010-04-10,CUST00004,Cereal,205.7,3322,FREESHIP,new york,0.0,205.7,683335.3999999999,20100410_CUST00004_Cereal,2010,4,0,C
2011-08-16,CUST00005,Fruits,9.33,9845,SAVE20,london,0.2,7.464,73483.08,20110816_CUST00005_Fruits,2011,8,1,F
2014-11-24,CUST00006,Cereal,205.7,9528,PROMO10,new york,0.1,185.13,1763918.64,20141124_CUST00006_Cereal,2014,11,1,C
2015-03-04,CUST00007,Cereal,205.7,2844,PROMO11,dubai,0.11,183.07299999999998,520659.61199999996,20150304_CUST00007_Cereal,2015,3,1,C
2012-05-17,CUST00008,Clothes,109.28,7299,PROMO10,toronto,0.1,98.352,717871.248,20120517_CUST00008_Clothes,2012,5,1,C
2015-01-29,CUST00009,Vegetables,154.06,2428,DISCOUNT5,dubai,0.05,146.357,355354.796,20150129_CUST00009_Vegetables,2015,1,0,V
2013-12-24,CUST00010,Vegetables,154.06,4800,DISCOUNT5,mumbai,0.05,146.357,702513.6,20131224_CUST00010_Vegetables,2013,12,0,V
2015-12-29,CUST00011,Clothes,109.28,3012,PROMO11,sydney,0.11,97.2592,292944.71040000004,20151229_CUST00011_Clothes,2015,12,1,C
2010-02-27,CUST00012,Snacks,152.58,2694,SAVE20,dubai,0.2,122.06400000000002,328840.4160000001,20100227_CUST00012_Snacks,2010,2,1,S
2016-11-17,CUST00013,Household,668.27,1508,PROMO11,tokyo,0.11,594.7603,896898.5324,20161117_CUST00013_Household,2016,11,1,H
2015-12-20,CUST00014,Cosmetics,437.2,4146,SAVE20,new york,0.2,349.76,1450104.96,20151220_CUST00014_Cosmetics,2015,12,1,C
2011-01-08,CUST00015,Fruits,9.33,7332,PROMO11,mumbai,0.11,8.303700000000001,60882.72840000001,20110108_CUST00015_Fruits,2011,1,1,F
2010-06-28,CUST00016,Clothes,109.28,4820,FREESHIP,new york,0.0,109.28,526729.6,20100628_CUST00016_Clothes,2010,6,0,C
2016-04-25,CUST00017,Office Supplies,651.21,2397,DISCOUNT5,mexico city,0.05,618.6495,1482902.8514999999,20160425_CUST00017_OfficeSupplies,2016,4,0,O
2012-07-27,CUST00018,Beverages,47.45,2880,FREESHIP,mexico city,0.0,47.45,136656.0,20120727_CUST00018_Beverages,2012,7,0,B
2014-09-08,CUST00019,Clothes,109.28,1117,SAVE20,new york,0.2,87.424,97652.60800000001,20140908_CUST00019_Clothes,2014,9,1,C
2012-08-27,CUST00020,Household,668.27,8989,SAVE20,london,0.2,534.616,4805663.223999999,20120827_CUST00020_Household,2012,8,1,H
2012-09-03,CUST00021,Snacks,152.58,407,PROMO11,mexico city,0.11,135.79620000000003,55269.05340000001,20120903_CUST00021_Snacks,2012,9,1,S
2010-08-27,CUST00022,Clothes,109.28,6313,PROMO11,paris,0.11,97.2592,613997.3296,20100827_CUST00022_Clothes,2010,8,1,C
2011-02-20,CUST00023,Personal Care,81.73,9681,PROMO11,toronto,0.11,72.7397,704193.0357,20110220_CUST00023_PersonalCare,2011,2,1,P
2015-12-12,CUST00024,Clothes,109.28,515,FREESHIP,toronto,0.0,109.28,56279.2,20151212_CUST00024_Clothes,2015,12,0,C
2012-10-28,CUST00025,Cereal,205.7,852,PROMO11,tokyo,0.11,183.07299999999998,155978.196,20121028_CUST00025_Cereal,2012,10,1,C
2017-01-30,CUST00026,Beverages,47.45,9759,DISCOUNT5,paris,0.05,45.0775,439911.3225,20170130_CUST00026_Beverages,2017,1,0,B
2014-10-22,CUST00027,Beverages,47.45,8334,PROMO11,toronto,0.11,42.230500000000006,351948.9870000001,20141022_CUST00027_Beverages,2014,10,1,B
2012-01-31,CUST00028,Fruits,9.33,4709,PROMO10,toronto,0.1,8.397,39541.473,20120131_CUST00028_Fruits,2012,1,1,F
2016-01-20,CUST00029,Meat,421.89,9043,SAVE20,new york,0.2,337.512,3052121.016,20160120_CUST00029_Meat,2016,1,1,M
2016-01-01,CUST00030,Personal Care,81.73,8529,PROMO10,mumbai,0.1,73.557,627367.653,20160101_CUST00030_PersonalCare,2016,1,1,P
2017-06-01,CUST00031,Beverages,47.45,2391,FREESHIP,new york,0.0,47.45,113452.95000000001,20170601_CUST00031_Beverages,2017,6,0,B
2015-06-30,CUST00032,Office Supplies,651.21,6884,FREESHIP,berlin,0.0,651.21,4482929.640000001,20150630_CUST00032_OfficeSupplies,2015,6,0,O
2014-01-28,CUST00033,Fruits,9.33,293,PROMO11,sydney,0.11,8.303700000000001,2432.9841,20140128_CUST00033_Fruits,2014,1,1,F
2014-04-08,CUST00034,Baby Food,255.28,7937,FREESHIP,mumbai,0.0,255.28,2026157.36,20140408_CUST00034_BabyFood,2014,4,0,B
2010-09-04,CUST00035,Beverages,47.45,7163,PROMO11,mumbai,0.11,42.230500000000006,302497.0715,20100904_CUST00035_Beverages,2010,9,1,B
2010-05-02,CUST00036,Office Supplies,651.21,2352,PROMO10,new york,0.1,586.089,1378481.3280000002,20100502_CUST00036_OfficeSupplies,2010,5,1,O
2013-10-03,CUST00037,Office Supplies,651.21,9915,PROMO11,sydney,0.11,579.5769,5746504.963500001,20131003_CUST00037_OfficeSupplies,2013,10,1,O
2011-03-06,CUST00038,Vegetables,154.06,3294,PROMO11,new york,0.11,137.1134,451651.5396,20110306_CUST00038_Vegetables,2011,3,1,V
2016-08-07,CUST00039,Baby Food,255.28,7963,SAVE20,mumbai,0.2,204.22400000000002,1626235.712,20160807_CUST00039_BabyFood,2016,8,1,B
2011-01-11,CUST00040,Office Supplies,651.21,6426,SAVE20,tokyo,0.2,520.9680000000001,3347740.3680000002,20110111_CUST00040_OfficeSupplies,2011,1,1,O
2014-05-21,CUST00041,Office Supplies,651.21,3221,SAVE20,toronto,0.2,520.9680000000001,1678037.9280000003,20140521_CUST00041_OfficeSupplies,2014,5,1,O
2013-08-03,CUST00042,Beverages,47.45,9913,DISCOUNT5,berlin,0.05,45.0775,446853.2575,20130803_CUST00042_Beverages,2013,8,0,B
2011-10-05,CUST00043,Meat,421.89,103,PROMO10,toronto,0.1,379.701,39109.203,20111005_CUST00043_Meat,2011,10,1,M
2016-11-15,CUST00044,Snacks,152.58,4419,FREESHIP,toronto,0.0,152.58,674251.02,20161115_CUST00044_Snacks,2016,11,0,S
2015-04-03,CUST00045,Office Supplies,651.21,5523,PROMO11,tokyo,0.11,579.5769,3201003.2187,20150403_CUST00045_OfficeSupplies,2015,4,1,O
2013-03-22,CUST00046,Beverages,47.45,3107,SAVE20,paris,0.2,37.96,117941.72,20130322_CUST00046_Beverages,2013,3,1,B
2010-08-02,CUST00047,Meat,421.89,8896,PROMO11,dubai,0.11,375.4821,3340288.7616,20100802_CUST00047_Meat,2010,8,1,M
2012-01-05,CUST00048,Household,668.27,1643,SAVE20,sydney,0.2,534.616,878374.088,20120105_CUST00048_Household,2012,1,1,H
2015-08-26,CUST00049,Personal Care,81.73,2135,FREESHIP,sydney,0.0,81.73,174493.55000000002,20150826_CUST00049_PersonalCare,2015,8,0,P
2016-12-09,CUST00050,Meat,421.89,8189,PROMO10,paris,0.1,379.701,3109371.489,20161209_CUST00050_Meat,2016,12,1,M
2012-05-17,CUST00051,Vegetables,154.06,9654,FREESHIP,mumbai,0.0,154.06,1487295.24,20120517_CUST00051_Vegetables,2012,5,0,V
2010-11-17,CUST00052,Vegetables,154.06,3410,FREESHIP,sydney,0.0,154.06,525344.6,20101117_CUST00052_Vegetables,2010,11,0,V
2014-11-13,CUST00053,Cosmetics,437.2,8368,FREESHIP,paris,0.0,437.2,3658489.6,20141113_CUST00053_Cosmetics,2014,11,0,C
2016-06-16,CUST00054,Beverages,47.45,470,PROMO10,berlin,0.1,42.705000000000005,20071.350000000002,20160616_CUST00054_Beverages,2016,6,1,B
2016-05-31,CUST00055,Fruits,9.33,7690,FREESHIP,paris,0.0,9.33,71747.7,20160531_CUST00055_Fruits,2016,5,0,F
2012-10-06,CUST00056,Snacks,152.58,5033,FREESHIP,mumbai,0.0,152.58,767935.14,20121006_CUST00056_Snacks,2012,10,0,S
2012-03-10,CUST00057,Office Supplies,651.21,9535,SAVE20,sydney,0.2,520.9680000000001,4967429.880000001,20120310_CUST00057_OfficeSupplies,2012,3,1,O
2011-01-26,CUST00058,Office Supplies,651.21,5263,FREESHIP,new york,0.0,651.21,3427318.23,20110126_CUST00058_OfficeSupplies,2011,1,0,O
2014-06-02,CUST00059,Vegetables,154.06,8316,PROMO10,tokyo,0.1,138.654,1153046.6639999999,20140602_CUST00059_Vegetables,2014,6,1,V
2016-12-17,CUST00060,Personal Care,81.73,1824,FREESHIP,toronto,0.0,81.73,149075.52000000002,20161217_CUST00060_PersonalCare,2016,12,0,P
